facilityId,facilityname,ownership,facilityTypeId,scheme,areaAcres,latitude,longitude,address,statusId,remarks,operatingHoursFrom,operatingHoursTo,sun,mon,tue,wed,thu,fri,sat,additionalDetails,createdBy,createdOn,updatedBy,updatedOn,deletedBy,deletedOn,createdAt,updatedAt,helpNumber,about,facility_type
1,"Prachi Park",BDA,1,BDA,0.439,20.3227,85.8145,,1,NA,06:30AM,06:30PM,1,1,1,1,1,1,1,NA,0,"2024-05-07 12:00:23",0,"2024-05-07 12:00:23",NULL,NULL,"2024-05-07 11:47:53","2024-05-07 11:47:53",8098098090,"This is the best place to hang out",Parks
2,"Acharya Vihar Colony Park",BMC,1,BMC,2.46,20.2891,85.8278,,1,NA,06:30AM,06:30PM,1,1,1,1,1,1,1,NA,0,"2024-05-07 12:00:23",0,"2024-05-07 12:00:23",NULL,NULL,"2024-05-07 11:47:53","2024-05-07 11:47:53",8098098090,"This is the best place to hang out",Parks
3,"VIP Colony Park, Near Plot - 58",BDA,1,BDA,1.321,20.2954,85.8016,,1,NA,06:30AM,06:30PM,1,1,1,1,1,1,1,NA,0,"2024-05-07 12:00:23",0,"2024-05-07 12:00:23",NULL,NULL,"2024-05-07 11:47:53","2024-05-07 11:47:53",8098098090,"This is the best place to hang out",Parks
4,"Ruchika High School, Unit - 6",,2,,0.56,20.2634,85.8199,"Surya Nagar",1,NA,06:30AM,06:30PM,1,1,1,1,1,1,1,NA,0,"2024-05-07 12:00:23",0,"2024-05-07 12:00:23",NULL,NULL,"2024-05-07 11:47:53","2024-05-07 11:47:53",8098098090,"This is the best place to hang out",Playgrounds
5,"Akshaya Mohanty Park (RPRC Boundary)",BDA,1,BDA,2.15,20.2968,85.8027,,1,NA,06:30AM,06:30PM,1,1,1,1,1,1,1,NA,0,"2024-05-07 12:00:23",0,"2024-05-07 12:00:23",NULL,NULL,"2024-05-07 11:47:53","2024-05-07 11:47:53",8098098090,"This is the best place to hang out",Parks
6,"Nicco Park",BDA,1,"BDA City Center",23.513,20.2854,85.8308,,1,NA,06:30AM,06:30PM,1,1,1,1,1,1,1,NA,0,"2024-05-07 12:00:23",0,"2024-05-07 12:00:23",NULL,NULL,"2024-05-07 11:47:53","2024-05-07 11:47:53",8098098090,"This is the best place to hang out",Parks
7,"Lalbahadaur High School, Phulnakhara",,2,,1.326,20.3507,85.9019,Johal,1,NA,06:30AM,06:30PM,1,1,1,1,1,1,1,NA,0,"2024-05-07 12:00:23",0,"2024-05-07 12:00:23",NULL,NULL,"2024-05-07 11:47:53","2024-05-07 11:47:53",8098098090,"This is the best place to hang out",Playgrounds
8,"Vivekananda Siksha Kendra",,2,,0.058,20.3393,85.8184,Patia,1,NA,06:30AM,06:30PM,1,1,1,1,1,1,1,NA,0,"2024-05-07 12:00:23",0,"2024-05-07 12:00:23",NULL,NULL,"2024-05-07 11:47:53","2024-05-07 11:47:53",8098098090,"This is the best place to hang out",Playgrounds
9,"Satya Sai Enclave Park",BMC,1,BMC,0.836,20.2586,85.7772,,1,NA,06:30AM,06:30PM,1,1,1,1,1,1,1,NA,0,"2024-05-07 12:00:23",0,"2024-05-07 12:00:23",NULL,NULL,"2024-05-07 11:47:53","2024-05-07 11:47:53",8098098090,"This is the best place to hang out",Parks
10,"Parade Ground",,2,,9.927,20.2772,85.8235,Nayapalli,1,NA,06:30AM,06:30PM,1,1,1,1,1,1,1,NA,0,"2024-05-07 12:00:23",0,"2024-05-07 12:00:23",NULL,NULL,"2024-05-07 11:47:53","2024-05-07 11:47:53",8098098090,"This is the best place to hang out",Playgrounds
11,"Sibananda Public School, Unit - 2",,2,,0.226,20.2651,85.8378,"Kharavela Nagar",1,NA,06:30AM,06:30PM,1,1,1,1,1,1,1,NA,0,"2024-05-07 12:00:23",0,"2024-05-07 12:00:23",NULL,NULL,"2024-05-07 11:47:53","2024-05-07 11:47:53",8098098090,"This is the best place to hang out",Playgrounds
12,"IMFA Park",IMFA,1,IMFA,6.302,20.2919,85.8512,,1,NA,06:30AM,06:30PM,1,1,1,1,1,1,1,NA,0,"2024-05-07 12:00:23",0,"2024-05-07 12:00:23",NULL,NULL,"2024-05-07 11:47:53","2024-05-07 11:47:53",8098098090,"This is the best place to hang out",Parks
13,"BMC Children Park",BMC,1,BMC,0.101,20.2796,85.7661,,1,NA,06:30AM,06:30PM,1,1,1,1,1,1,1,NA,0,"2024-05-07 12:00:23",0,"2024-05-07 12:00:23",NULL,NULL,"2024-05-07 11:47:53","2024-05-07 11:47:53",8098098090,"This is the best place to hang out",Parks
14,"Rental Park",BMC,1,BMC,1.327,20.2893,85.7988,,1,NA,06:30AM,06:30PM,1,1,1,1,1,1,1,NA,0,"2024-05-07 12:00:23",0,"2024-05-07 12:00:23",NULL,NULL,"2024-05-07 11:47:53","2024-05-07 11:47:53",8098098090,"This is the best place to hang out",Parks
15,"BDA Colony Park - Chandrasekharpur",BMC,1,AMRUT,0.548,20.3207,85.8183,,1,NA,06:30AM,06:30PM,1,1,1,1,1,1,1,NA,0,"2024-05-07 12:00:23",0,"2024-05-07 12:00:23",NULL,NULL,"2024-05-07 11:47:53","2024-05-07 11:47:53",8098098090,"This is the best place to hang out",Parks
16,"LLC Ground IRC",,2,,0.475,20.2951,85.8054,"Jayadev Vihar",1,NA,06:30AM,06:30PM,1,1,1,1,1,1,1,NA,0,"2024-05-07 12:00:23",0,"2024-05-07 12:00:23",NULL,NULL,"2024-05-07 11:47:53","2024-05-07 11:47:53",8098098090,"This is the best place to hang out",Playgrounds
17,"Pokhariput Playground (Biharilal Stadium)",,2,,3.262,20.2358,85.8101,Pokhariput,1,NA,06:30AM,06:30PM,1,1,1,1,1,1,1,NA,0,"2024-05-07 12:00:23",0,"2024-05-07 12:00:23",NULL,NULL,"2024-05-07 11:47:53","2024-05-07 11:47:53",8098098090,"This is the best place to hang out",Playgrounds
18,"Bhoisahi Playground",,2,,0.404,20.2894,85.8166,Nayapalli,1,NA,06:30AM,06:30PM,1,1,1,1,1,1,1,NA,0,"2024-05-07 12:00:23",0,"2024-05-07 12:00:23",NULL,NULL,"2024-05-07 11:47:53","2024-05-07 11:47:53",8098098090,"This is the best place to hang out",Playgrounds
19,"BMC Children Park",BMC,1,BMC,0.255,20.361,85.8225,,1,NA,06:30AM,06:30PM,1,1,1,1,1,1,1,NA,0,"2024-05-07 12:00:23",0,"2024-05-07 12:00:23",NULL,NULL,"2024-05-07 11:47:53","2024-05-07 11:47:53",8098098090,"This is the best place to hang out",Parks
20,"Bhubaneswar Football Academy",,2,,11.173,20.2609,85.8307,"Kharavela Nagar",1,NA,06:30AM,06:30PM,1,1,1,1,1,1,1,NA,0,"2024-05-07 12:00:23",0,"2024-05-07 12:00:23",NULL,NULL,"2024-05-07 11:47:53","2024-05-07 11:47:53",8098098090,"This is the best place to hang out",Playgrounds
21,"Bhubaneswar Railway Parking",,2,,1.432,20.2689,85.8446,"Kharavela Nagar",1,NA,06:30AM,06:30PM,1,1,1,1,1,1,1,NA,0,"2024-05-07 12:00:23",0,"2024-05-07 12:00:23",NULL,NULL,"2024-05-07 11:47:53","2024-05-07 11:47:53",8098098090,"This is the best place to hang out",Playgrounds
22,"Children's And Jogger's Park",BMC,1,BMC,0.377,20.2812,85.8592,,1,NA,06:30AM,06:30PM,1,1,1,1,1,1,1,NA,0,"2024-05-07 12:00:23",0,"2024-05-07 12:00:23",NULL,NULL,"2024-05-07 11:47:53","2024-05-07 11:47:53",8098098090,"This is the best place to hang out",Parks
23,"BJB Nagar Field",,2,,0.677,20.2503,85.8433,"BJB Nagar",1,NA,06:30AM,06:30PM,1,1,1,1,1,1,1,NA,0,"2024-05-07 12:00:23",0,"2024-05-07 12:00:23",NULL,NULL,"2024-05-07 11:47:53","2024-05-07 11:47:53",8098098090,"This is the best place to hang out",Playgrounds
